x,laplace
2.55,0.49461385
2.56,0.49476639
2.57,0.49491507
2.58,0.49505998
2.59,0.4952012
2.6,0.49533881
2.61,0.49547289
2.62,0.49560351
2.63,0.49573076
2.64,0.4958547
2.65,0.49597541
2.66,0.49609297
2.67,0.49620744
2.68,0.49631889
2.69,0.4964274
2.7,0.49653303
2.71,0.49663584
2.72,0.4967359
2.73,0.49683328
2.74,0.49692804
2.75,0.49702024
2.76,0.49710993
2.77,0.49719719
2.78,0.49728206
2.79,0.4973646
2.8,0.49744487
2.81,0.49752293
2.82,0.49759882
2.83,0.4976726
2.84,0.49774432
2.85,0.49781404
2.86,0.49788179
2.87,0.49794764
2.88,0.49801162
2.89,0.49807379
2.9,0.49813419
2.91,0.49819286
2.92,0.49824984
2.93,0.49830519
2.94,0.49835894
2.95,0.49841113
2.96,0.4984618
2.97,0.498511
2.98,0.49855876
2.99,0.49860511
3.0,0.4986501
3.01,0.49869376
3.02,0.49873613
3.03,0.49877723
3.04,0.49881711
3.05,0.49885579
3.06,0.49889332
3.07,0.49892971
3.08,0.498965
3.09,0.49899922
3.1,0.4990324
3.11,0.49906456
3.12,0.49909574
3.13,0.49912597
3.14,0.49915526
3.15,0.49918365
3.16,0.49921115
3.17,0.49923781
3.18,0.49926362
3.19,0.49928864
3.2,0.49931286
3.21,0.49933633
3.22,0.49935905
3.23,0.49938105
3.24,0.49940235
3.25,0.49942297
3.26,0.49944294
3.27,0.49946226
3.28,0.49948096
3.29,0.49949906
3.3,0.49951658
3.31,0.49953352
3.32,0.49954991
3.33,0.49956577
3.34,0.49958111
3.35,0.49959594
3.36,0.49961029
3.37,0.49962416
3.38,0.49963757
3.39,0.49965054
3.4,0.49966307
3.41,0.49967519
3.42,0.49968689
3.43,0.49969821
3.44,0.49970914
3.45,0.49971971
3.46,0.49972991
3.47,0.49973977
3.48,0.49974929
3.49,0.49975849
3.5,0.49976737
3.51,0.49977595
3.52,0.49978423
3.53,0.49979222
3.54,0.49979994
3.55,0.49980738
3.56,0.49981457
3.57,0.49982151
3.58,0.4998282
3.59,0.49983466
3.6,0.49984089
3.61,0.4998469
3.62,0.4998527
3.63,0.49985829
3.64,0.49986368
3.65,0.49986888
3.66,0.49987389
3.67,0.49987872
3.68,0.49988338
3.69,0.49988787
3.7,0.4998922
3.71,0.49989637
3.72,0.49990039
3.73,0.49990426
3.74,0.49990799
3.75,0.49991158
3.76,0.49991504
3.77,0.49991838
3.78,0.49992159
3.79,0.49992468
3.8,0.49992765
3.81,0.49993052
3.82,0.49993327
3.83,0.49993593
3.84,0.49993848
3.85,0.49994094
3.86,0.49994331
3.87,0.49994558
3.88,0.49994777
3.89,0.49994988
3.9,0.4999519
3.91,0.49995385
3.92,0.49995573
3.93,0.49995753
3.94,0.49995926
3.95,0.49996092
3.96,0.49996253
3.97,0.49996406
3.98,0.49996554
3.99,0.49996696
4.0,0.49996833
4.01,0.49996964
4.02,0.4999709
4.03,0.49997211
4.04,0.49997327
4.05,0.49997439
4.06,0.49997546
4.07,0.49997649
4.08,0.49997748
4.09,0.49997843
4.1,0.49997934
4.11,0.49998022
4.12,0.49998106
4.13,0.49998186
4.14,0.49998263
4.15,0.49998338
4.16,0.49998409
4.17,0.49998477
4.18,0.49998542
4.19,0.49998605
4.2,0.49998665
4.21,0.49998723
4.22,0.49998778
4.23,0.49998832
4.24,0.49998882
4.25,0.49998931
4.26,0.49998978
4.27,0.49999023
4.28,0.49999066
4.29,0.49999107
4.3,0.49999146
4.31,0.49999184
4.32,0.4999922
4.33,0.49999254
4.34,0.49999288
4.35,0.49999319
4.36,0.4999935
4.37,0.49999379
4.38,0.49999407
4.39,0.49999433
4.4,0.49999459
4.41,0.49999483
4.42,0.49999506
4.43,0.49999529
4.44,0.4999955
4.45,0.49999571
4.46,0.4999959
4.47,0.49999609
4.48,0.49999627
4.49,0.49999644
4.5,0.4999966
4.51,0.49999676
4.52,0.49999691
4.53,0.49999705
4.54,0.49999719
4.55,0.49999732
4.56,0.49999744
4.57,0.49999756
4.58,0.49999768
4.59,0.49999778
4.6,0.49999789
4.61,0.49999799
4.62,0.49999808
4.63,0.49999817
4.64,0.49999826
4.65,0.49999834
4.66,0.49999842
4.67,0.49999849
4.68,0.49999857
4.69,0.49999863
4.7,0.4999987
4.71,0.49999876
4.72,0.49999882
4.73,0.49999888
4.74,0.49999893
4.75,0.49999898
4.76,0.49999903
4.77,0.49999908
4.78,0.49999912
4.79,0.49999917
4.8,0.49999921
4.81,0.49999925
4.82,0.49999928
4.83,0.49999932
4.84,0.49999935
4.85,0.49999938
4.86,0.49999941
4.87,0.49999944
4.88,0.49999947
4.89,0.4999995
4.9,0.49999952
4.91,0.49999954
4.92,0.49999957
4.93,0.49999959
4.94,0.49999961
4.95,0.49999963
4.96,0.49999965
4.97,0.49999967
4.98,0.49999968
4.99,0.4999997
5.0,0.49999971
